concept:name,cpee:activity_uuid,concept:name,lifecycle:transition,shift:timestamp
,09f3dbb3725f44ef967ba91a890238a7,,complete,None
,6abbcc5e57bec25165ed3505afd101ed,,start,None
,68b46ebf951fb17232ea97aa0d7ae909,,complete,None
,a68a0558b1c50bf7522ae001a5d9785f,,start,None
,c922cba05672f9e9b763b166aed94d1f,,start,None
,eb709b2d16c2cc99226485c20d823f7a,,start,None
,f5182af0f6d042dc9b18651e6d6f9f4f,,complete,None
,c922cba05672f9e9b763b166aed94d1f,,complete,None
,6abbcc5e57bec25165ed3505afd101ed,,complete,None
,eb709b2d16c2cc99226485c20d823f7a,,complete,None
,a68a0558b1c50bf7522ae001a5d9785f,,complete,None
,bfa0fa45e4a78b9bfbfd648e3a9b39a6,,complete,None
,d6bb41ee137ce9d2621c7740153a785c,,complete,None
,13451e653ac3874ff4438cc198c26c6c,,complete,None
,883c3e1dea338a48ea921abbd6dc3d61,,complete,None
,52bc3b00615567bc382ba6536a50700e,,complete,None
,2b4bea94a6159eb71cfcd485b9099352,,start,None
,b2aec8d80ac811186b9cba6a18e3428c,,start,None
,df908071ebbb1f0b6571f7d563547c7b,,start,None
,6e7871b512d0d1fab8fb187280825d51,,start,None
,da22d2d0b743abe70b3a2fa041c0e8fa,,start,None
,2b4bea94a6159eb71cfcd485b9099352,,complete,None
,6e7871b512d0d1fab8fb187280825d51,,complete,None
,df908071ebbb1f0b6571f7d563547c7b,,complete,None
,b2aec8d80ac811186b9cba6a18e3428c,,complete,None
,da22d2d0b743abe70b3a2fa041c0e8fa,,complete,None
,6afbd7f4fbf971b20beaac8efa0204fa,,complete,None
,ad7beaf1f51525f9a39969d1f1c2f4b1,,complete,None
,f45a6c204143b9ce59b02896e7fe648e,,complete,None
,aa49fe48df7d413da44d6107963f85db,,start,None
,7c54a954c37016d07a323c164fb305f8,,start,None
,21c03648f094821614b36c9abb392cc3,,complete,None
,c429d0b8b67ae479c9438e9540c0c69d,,complete,None
,696d75547459238aa4dc6e67bbeebd01,,start,None
,36ef7dce2539b8e181fbf672f7fb9649,,start,None
,42bdbff10e847f91cdf520e54a019956,,start,None
,aa49fe48df7d413da44d6107963f85db,,complete,None
,36ef7dce2539b8e181fbf672f7fb9649,,complete,None
,7c54a954c37016d07a323c164fb305f8,,complete,None
,696d75547459238aa4dc6e67bbeebd01,,complete,None
,42bdbff10e847f91cdf520e54a019956,,complete,None
